Gene stable ID	Transcript stable ID	HGNC symbol	Gene name	Gene description
ENSG00000210049	ENST00000387314	MT-TF	MT-TF	mitochondrially encoded tRNA phenylalanine [Source:HGNC Symbol;Acc:HGNC:7481]
ENSG00000211459	ENST00000389680	MT-RNR1	MT-RNR1	mitochondrially encoded 12S RNA [Source:HGNC Symbol;Acc:HGNC:7470]
ENSG00000210077	ENST00000387342	MT-TV	MT-TV	mitochondrially encoded tRNA valine [Source:HGNC Symbol;Acc:HGNC:7500]
ENSG00000210082	ENST00000387347	MT-RNR2	MT-RNR2	mitochondrially encoded 16S RNA [Source:HGNC Symbol;Acc:HGNC:7471]
ENSG00000209082	ENST00000386347	MT-TL1	MT-TL1	mitochondrially encoded tRNA leucine 1 (UUA/G) [Source:HGNC Symbol;Acc:HGNC:7490]
ENSG00000198888	ENST00000361390	MT-ND1	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]
ENSG00000210100	ENST00000387365	MT-TI	MT-TI	mitochondrially encoded tRNA isoleucine [Source:HGNC Symbol;Acc:HGNC:7488]
ENSG00000210107	ENST00000387372	MT-TQ	MT-TQ	mitochondrially encoded tRNA glutamine [Source:HGNC Symbol;Acc:HGNC:7495]
ENSG00000210112	ENST00000387377	MT-TM	MT-TM	mitochondrially encoded tRNA methionine [Source:HGNC Symbol;Acc:HGNC:7492]
ENSG00000198763	ENST00000361453	MT-ND2	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]
ENSG00000210117	ENST00000387382	MT-TW	MT-TW	mitochondrially encoded tRNA tryptophan [Source:HGNC Symbol;Acc:HGNC:7501]
ENSG00000210127	ENST00000387392	MT-TA	MT-TA	mitochondrially encoded tRNA alanine [Source:HGNC Symbol;Acc:HGNC:7475]
ENSG00000210135	ENST00000387400	MT-TN	MT-TN	mitochondrially encoded tRNA asparagine [Source:HGNC Symbol;Acc:HGNC:7493]
ENSG00000210140	ENST00000387405	MT-TC	MT-TC	mitochondrially encoded tRNA cysteine [Source:HGNC Symbol;Acc:HGNC:7477]
ENSG00000210144	ENST00000387409	MT-TY	MT-TY	mitochondrially encoded tRNA tyrosine [Source:HGNC Symbol;Acc:HGNC:7502]
ENSG00000198804	ENST00000361624	MT-CO1	MT-CO1	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]
